prop_handle,enum_value,term_value,http_status,passed,notes
consent_group_name,GRU,GRU,200,True,
consent_group_name,HMB,HMB,200,True,
genomic_source_category,Germline,Germline,200,True,
genomic_source_category,Not Reported,Not Reported,200,True,
genomic_source_category,Somatic,Somatic,200,True,
genomic_source_category,Somatic Mosaic,Somatic Mosaic,200,True,
genomic_source_category,Unknown,Unknown,200,True,
method,Archer Fusion,Archer Fusion,200,True,
method,DNA Sequencing,DNA Sequencing,200,True,
method,Methylation Analysis,Methylation Analysis,200,True,
method,Pathology,Pathology,200,True,
method,Radiology,Radiology,200,True,
method,RNA Sequencing,RNA Sequencing,200,True,
method,Not Reported,Not Reported,200,True,
chromosome,Chr 1,,200,True,
chromosome,Chr 10,,200,True,
chromosome,Chr 11,,200,True,
chromosome,Chr 12,,200,True,
chromosome,Chr 13,,200,True,
chromosome,Chr 14,,200,True,
chromosome,Chr 15,,200,True,
chromosome,Chr 16,,200,True,
chromosome,Chr 17,,200,True,
chromosome,Chr 18,,200,True,
chromosome,Chr 19,,200,True,
chromosome,Chr 2,,200,True,
chromosome,Chr 20,,200,True,
chromosome,Chr 21,,200,True,
chromosome,Chr 22,,200,True,
chromosome,Chr 23,,200,True,
chromosome,Chr 3,,200,True,
chromosome,Chr 4,,200,True,
chromosome,Chr 5,,200,True,
chromosome,Chr 6,,200,True,
chromosome,Chr 7,,200,True,
chromosome,Chr 8,,200,True,
chromosome,Chr 9,,200,True,
chromosome,Chr M,,200,True,
chromosome,Chr X,,200,True,
chromosome,Chr Y,,200,True,
chromosome,Not Reported,,200,True,
chromosome,Unknown,,200,True,
translocation_partner_chromosome,Chr 1,,200,True,
translocation_partner_chromosome,Chr 10,,200,True,
translocation_partner_chromosome,Chr 11,,200,True,
translocation_partner_chromosome,Chr 12,,200,True,
translocation_partner_chromosome,Chr 13,,200,True,
translocation_partner_chromosome,Chr 14,,200,True,
translocation_partner_chromosome,Chr 15,,200,True,
translocation_partner_chromosome,Chr 16,,200,True,
translocation_partner_chromosome,Chr 17,,200,True,
translocation_partner_chromosome,Chr 18,,200,True,
translocation_partner_chromosome,Chr 19,,200,True,
translocation_partner_chromosome,Chr 2,,200,True,
translocation_partner_chromosome,Chr 20,,200,True,
translocation_partner_chromosome,Chr 21,,200,True,
translocation_partner_chromosome,Chr 22,,200,True,
translocation_partner_chromosome,Chr 23,,200,True,
translocation_partner_chromosome,Chr 3,,200,True,
translocation_partner_chromosome,Chr 4,,200,True,
translocation_partner_chromosome,Chr 5,,200,True,
translocation_partner_chromosome,Chr 6,,200,True,
translocation_partner_chromosome,Chr 7,,200,True,
translocation_partner_chromosome,Chr 8,,200,True,
translocation_partner_chromosome,Chr 9,,200,True,
translocation_partner_chromosome,Chr M,,200,True,
translocation_partner_chromosome,Chr X,,200,True,
translocation_partner_chromosome,Chr Y,,200,True,
translocation_partner_chromosome,Not Reported,,200,True,
translocation_partner_chromosome,Unknown,,200,True,
alteration,11q Deletion,,200,True,
alteration,12q Gain,,200,True,
alteration,16q Loss,,200,True,
alteration,17q Gain,,200,True,
alteration,1p Deletion,,200,True,
alteration,1q Gain,,200,True,
alteration,45XO,,200,True,
alteration,45XO w/ Y chromosomal material,,200,True,
alteration,46XX,,200,True,
alteration,46XY,,200,True,
alteration,47XXX,,200,True,
alteration,47XXY,,200,True,
alteration,47XYY,,200,True,
alteration,48XXXX,,200,True,
alteration,48XXXY,,200,True,
alteration,8q Gain,,200,True,
alteration,AKT mutation,,200,True,
alteration,ALK Mutation,,200,True,
alteration,ALK p.R1275L mutation,,200,True,
alteration,ALK Rearrangement,,200,True,
alteration,ARID1A mutation,,200,True,
alteration,ATM mutation,,200,True,
alteration,BCOR mutation,,200,True,
alteration,BCOR Rearranged,,200,True,
alteration,BCOR-MAML3,,200,True,
alteration,BCR-ABL1 Fusion,,200,True,
alteration,BRAF Mutation,,200,True,
alteration,BRAF V600E,,200,True,
alteration,BRCA2 Mutation,,200,True,
alteration,CCNB3-BCOR,,200,True,
alteration,CCND1 mutation,,200,True,
alteration,CCND2 Mutation,,200,True,
alteration,CDK4 mutation,,200,True,
alteration,CDKN2A,,200,True,
alteration,CDKN2A Mutation,,200,True,
alteration,CEBPA mutation - biallelic,,200,True,
alteration,CEBPA mutation - monoallelic,,200,True,
alteration,CEBPA mutation - mutation unspecified,,200,True,
alteration,Chromosome 11 Loss,,200,True,
alteration,Chromosome 14q Loss,,200,True,
alteration,CIC Rearranged,,200,True,
alteration,CIC-DUX4,,200,True,
alteration,CIC-DUX4L10,,200,True,
alteration,CKIT mutation - ex17,,200,True,
alteration,CKIT mutation - ex8,,200,True,
alteration,CKIT mutation - unspecified,,200,True,
alteration,Complex karyotype,,200,True,
alteration,CTNNB1 Mutation,,200,True,
alteration,del(13q) (13q 14 - 21),,200,True,
alteration,del(17p),del(17p),200,True,
alteration,del(5q)(5q31-q32),del(5q)(5q31-q32),200,True,
alteration,del(5q),del(5q),200,True,
alteration,del(7q),del(7q),200,True,
alteration,del(9q),del(9q),200,True,
alteration,der.12p,der.12p,200,True,
alteration,DICER1 mutation,,200,True,
alteration,E2A/PBX1 t(1;19),,200,True,
alteration,ETV6 rearranged,,200,True,
alteration,ETV6-RUNX1 t(12;21)(p13;q22)(formerly TEL-AML1),,200,True,
alteration,EWSR1 Rearranged,,200,True,
alteration,EWSR1-ATF1,,200,True,
alteration,EWSR1-CREB1,,200,True,
alteration,EWSR1-DDIT3,,200,True,
alteration,EWSR1-ERG,,200,True,
alteration,EWSR1-ETV1,,200,True,
alteration,EWSR1-ETV4,,200,True,
alteration,EWSR1-FEV,,200,True,
alteration,EWSR1-FLI1,,200,True,
alteration,EWSR1-KLF17,,200,True,
alteration,EWSR1-NR4A3,,200,True,
alteration,EWSR1-PBX1,,200,True,
alteration,EWSR1-POU5F1,,200,True,
alteration,EWSR1-WT1,,200,True,
alteration,EWSR1-ZNF444,,200,True,
alteration,FBXW7 mutation,,200,True,
alteration,FGFR4 mutation,,200,True,
alteration,FLT3 internal tandem duplication (ITD),,200,True,
alteration,FLT3-TKD,,200,True,
alteration,FOXO1 rearranged,,200,True,
alteration,FUS Rearranged,,200,True,
alteration,FUS Translocation Present,,200,True,
alteration,FUS-DDIT3,,200,True,
alteration,FUS-ERG,,200,True,
alteration,FUS-FEV,,200,True,
alteration,FUS-KLF17,,200,True,
alteration,GAB1 mutation,,200,True,
alteration,GATA1 mutation,,200,True,
alteration,GLI2 Amplification,,200,True,
alteration,HRAS mutation,,200,True,
alteration,iAMP21,,200,True,
alteration,IGF1R mutation,,200,True,
alteration,inv(16),inv(16),200,True,
alteration,inv(16)(p13.3q24.3)/CBFA2T3-GLIS2,,200,True,
alteration,inv(16)(p13q22),inv(16)(p13q22),200,True,
alteration,inv(3)(q21;q21.2),inv(3)(q21;q21.2),200,True,
alteration,inv(X)(p11.4;p11.22),,200,True,
alteration,KIT Exon 8 Mutation,,200,True,
alteration,KIT Exon 17 Mutation,,200,True,
alteration,K-RAS mutation,,200,True,
alteration,KRAS Mutation,,200,True,
alteration,Loss of Chromosome 11q (Deletion),,200,True,
alteration,Loss of Chromosome 1p (Deletion),,200,True,
alteration,Loss of chromosome Y (LOY),,200,True,
alteration,MDM2 mutation,,200,True,
alteration,MLL Other partner,,200,True,
alteration,Monosomy 5,,200,True,
alteration,Monosomy 7,,200,True,
alteration,Monosomy X,,200,True,
alteration,MTOR mutation,,200,True,
alteration,MYC Amplification,,200,True,
alteration,MYCN Amplification,,200,True,
alteration,MYCN mutation,,200,True,
alteration,MYOD1 Mutation,,200,True,
alteration,N-RAS mutation,,200,True,
alteration,NF1 mutation,,200,True,
alteration,Non-KMT2A MLLT10,,200,True,
alteration,NPM1 mutation,,200,True,
alteration,NRAS mutation,,200,True,
alteration,NTRK Rearranged,,200,True,
alteration,Not Reported,,200,True,
alteration,Other,,200,True,
alteration,p.F1174L,,200,True,
alteration,PDGFRA Mutation,,200,True,
alteration,PIK3CA Mutation,,200,True,
alteration,PKN1 mutation,,200,True,
alteration,PTCH1 Mutation,,200,True,
alteration,PTPN11 mutation,,200,True,
alteration,ROBO1 mutation,,200,True,
alteration,ROS1 rearranged,,200,True,
alteration,RUNX1 mutation,,200,True,
alteration,SMARCA4 mutation,,200,True,
alteration,SMARCB1 deleted/mutated,,200,True,
alteration,SMO Mutation,,200,True,
alteration,SOS1 mutation,,200,True,
alteration,SOS2 mutation,,200,True,
alteration,STAG2,,200,True,
alteration,SUFU Mutation,,200,True,
alteration,t(10;11)(p11.2;q23),t(10;11)(p11.2;q23),200,True,
alteration,t(10;11)(p12;q23) / MLL-MLLT10(AF10),,200,True,
alteration,t(10;19)(q26;q13),t(10;19)(q26;q13),200,True,
alteration,t(11;15)(p15;q35)/NUP98/JARID1A,,200,True,
alteration,t(11;16)(q13; p11),,200,True,
alteration,t(11;17)(AF17),,200,True,
alteration,t(11;19)(q13;q13.4),t(11;19)(q13;q13.4),200,True,
alteration,t(11;19)(q23;p13) (MLL-ENL)/(MLL-ELL),,200,True,
alteration,t(11;19)(q23;p13.1) (MLL-ELL),,200,True,
alteration,t(11;19)(q23;p13.3) (MLL-ENL),,200,True,
alteration,t(11;22)(p13;q12),t(11;22)(p13;q12),200,True,
alteration,t(11;22)(q24;q12),t(11;22)(q24;q12),200,True,
alteration,"t(11;22), NOS",,200,True,
alteration,t(12;15)(p13;q25),t(12;15)(p13;q25),200,True,
alteration,t(12;16)(q13;p11),t(12;16)(q13;p11),200,True,
alteration,t(12;22)(q13.12;q12),t(12;22)(q13.12;q12),200,True,
alteration,t(12;22)(q13.3;q12),t(12;22)(q13.3;q12),200,True,
alteration,t(12;22)(q13;q12),t(12;22)(q13;q12),200,True,
alteration,t(12;22;20)(q13;q12;q11),t(12;22;20)(q13;q12;q11),200,True,
alteration,t(15;17)(q24;q21),t(15;17)(q24;q21),200,True,
alteration,t(16;16)(p13.1;q22),t(16;16)(p13.1;q22),200,True,
alteration,t(16;21)(p11;q22),t(16;21)(p11;q22),200,True,
alteration,t(16;21)(p11;q22)FUS/ERG,,200,True,
alteration,t(16;21)(q24;q22)RUNX1-CBFA2T3,,200,True,
alteration,t(17;22)(q21;q12),t(17;22)(q21;q12),200,True,
alteration,t(17;22)(q22;q13),t(17;22)(q22;q13),200,True,
alteration,t(19;22)(q13;q12),t(19;22)(q13;q12),200,True,
alteration,t(1;10)(p22-31; q24-25),,200,True,
alteration,t(1;11)(q21;q23) / MLL-MLLT11(AF1Q),,200,True,
alteration,t(1;16)(p34;p11),t(1;16)(p34;p11),200,True,
alteration,t(1;22)(p34;q12),t(1;22)(p34;q12),200,True,
alteration,t(1;22)(q23;q12),t(1;22)(q23;q12),200,True,
alteration,t(1;22)(RBM15-MKL1),,200,True,
alteration,t(21;22)(q22;q12),t(21;22)(q22;q12),200,True,
alteration,t(2;12),t(2;12),200,True,
alteration,t(2;16)(q35;p11),t(2;16)(q35;p11),200,True,
alteration,t(2;22)(q33.3;q12),t(2;22)(q33.3;q12),200,True,
alteration,t(2;22)(q33;q12),t(2;22)(q33;q12),200,True,
alteration,t(2;22)(q34;q12),t(2;22)(q34;q12),200,True,
alteration,t(3;12)(q23;p12.3)(ETV6/EVI1),,200,True,
alteration,"t(3;3)(q21;q26.2), RPN1-EVI1",,200,True,
alteration,t(3;5)(p25;q34)NPM1/MLF1,,200,True,
alteration,t(4;11)(q21;q23) / MLL-MLLT2(AF4),,200,True,
alteration,t(4;19)(q25;q13),t(4;19)(q25;q13),200,True,
alteration,t(4;19)(q35;q13),t(4;19)(q35;q13),200,True,
alteration,t(5;11)(q35;p15) NSD1/NUP98,,200,True,
alteration,t(5;18)(q35;q11),t(5;18)(q35;q11),200,True,
alteration,t(6;11)(q27;q23) / MLL-MLLT4(AF6),,200,True,
alteration,t(6;22)(p21;q12),t(6;22)(p21;q12),200,True,
alteration,t(6;9),t(6;9),200,True,
alteration,t(6;9)(p23;q34) DEK/NUP214,,200,True,
alteration,t(7;12)(q36;p13) HLXB9(MNX1)/ETV6(TEL),,200,True,
alteration,t(7;16)(q33;p11),t(7;16)(q33;p11),200,True,
alteration,t(7;22)(p22;q12),t(7;22)(p22;q12),200,True,
alteration,t(8;14)(q24;q32) or other variant of B-ALL,,200,True,
alteration,t(8;16)MOZ/CBP,,200,True,
alteration,t(8;21),t(8;21),200,True,
alteration,t(8;8)(q21;q13),t(8;8)(q21;q13),200,True,
alteration,t(9;11)(p22;q23) / MLL-MLLT3(AF9),,200,True,
alteration,t(9;15)(q22;q21),t(9;15)(q22;q21),200,True,
alteration,t(9;17)(q22;q11),t(9;17)(q22;q11),200,True,
alteration,t(9;17)(q22;q11.2),t(9;17)(q22;q11.2),200,True,
alteration,t(9;22)(q22-23;q11-12),t(9;22)(q22-23;q11-12),200,True,
alteration,t(9;22)(q22;q12),t(9;22)(q22;q12),200,True,
alteration,t(X;17)(p11.2;q25),,200,True,
alteration,t(X;18)(p11.21;q11),,200,True,
alteration,t(X;18)(p11.23;q11),,200,True,
alteration,t(X;20)(p11.2;q13.3),,200,True,
alteration,t(X;22((p11;q13),,200,True,
alteration,t(X;4)(p11;q31),,200,True,
alteration,TAF15-NR4A3,,200,True,
alteration,TCF3-PBX1 Fusion,,200,True,
alteration,TLS/FEV,,200,True,
alteration,TP53,,200,True,
alteration,TP53 Mutation,,200,True,
alteration,Trisomy 10,,200,True,
alteration,Trisomy 17,,200,True,
alteration,Trisomy 21,,200,True,
alteration,Trisomy 4,,200,True,
alteration,Trisomy 8,,200,True,
alteration,Unknown,,200,True,
alteration,WT1 mutation,,200,True,
alteration,X Chromosome Inversion,,200,True,
alteration,ZC3H7B-BCOR,,200,True,
alteration_type,Chromosomal Gain,,200,True,
alteration_type,Chromosomal Loss,,200,True,
alteration_type,Chromothripsis,,200,True,
alteration_type,Deletion,,200,True,
alteration_type,Duplication,,200,True,
alteration_type,Internal Tandem Duplication,,200,True,
alteration_type,Inversion,,200,True,
alteration_type,Isochromosome,,200,True,
alteration_type,"Mutation, NOS",,200,True,
alteration_type,Other,,200,True,
alteration_type,Rearrangement,,200,True,
alteration_type,Substitution,,200,True,
alteration_type,Translocation,,200,True,
alteration_type,Insertion,,200,True,
alteration_type,Unknown,,200,True,
alteration_effect,Amplification,,200,True,
alteration_effect,Frameshift,,200,True,
alteration_effect,Gene Fusion,,200,True,
alteration_effect,Missense,,200,True,
alteration_effect,Monosomy,,200,True,
alteration_effect,None (inframe),,200,True,
alteration_effect,Nullisomy,,200,True,
alteration_effect,Splice Acceptor,,200,True,
alteration_effect,Splice Donor,,200,True,
alteration_effect,Start Lost,,200,True,
alteration_effect,Stop Gained,,200,True,
alteration_effect,Stop Lost,,200,True,
alteration_effect,Synonymous,,200,True,
alteration_effect,Trisomy,,200,True,
alteration_effect,Not Reported,,200,True,
status,Present,Present,200,True,
status,Absent,Absent,200,True,
status,Unknown,Unknown,200,True,
status,Not Done,Not Done,200,True,
study_phase,Active,Active,200,True,
study_phase,Completed,Completed,200,True,
study_phase,Provisional,Provisional,200,True,
laterality,Bilateral,Bilateral,200,True,
laterality,Left,Left,200,True,
laterality,Midline,Midline,200,True,
laterality,Not Applicable,Not Applicable,200,True,
laterality,Not Reported,Not Reported,200,True,
laterality,Not Specified,Not Specified,200,True,
laterality,Right,Right,200,True,
laterality,Unknown,Unknown,200,True,
fixation_embedding_method,-80 degrees C,,200,True,
fixation_embedding_method,Cytospin Slide,,200,True,
fixation_embedding_method,Cryopreservation in dry ice (dead tissue),,200,True,
fixation_embedding_method,Cryopreservation in liquid nitrogen (dead tissue),,200,True,
fixation_embedding_method,Cryopreservation of live cells in liquid nitrogen,,200,True,
fixation_embedding_method,Cryopreserved,,200,True,
fixation_embedding_method,Formalin fixed - buffered,,200,True,
fixation_embedding_method,Formalin fixed - unbuffered,,200,True,
fixation_embedding_method,Formalin fixed paraffin embedded (FFPE),,200,True,
fixation_embedding_method,Fresh,,200,True,
fixation_embedding_method,Fresh dissociated,,200,True,
fixation_embedding_method,Fresh dissociated and single cell sorted,,200,True,
fixation_embedding_method,Fresh dissociated and single cell sorted into plates,,200,True,
fixation_embedding_method,Frozen,,200,True,
fixation_embedding_method,Liquid nitrogen,,200,True,
fixation_embedding_method,Not Reported,,200,True,
fixation_embedding_method,OCT,,200,True,
fixation_embedding_method,Other,,200,True,
fixation_embedding_method,Snap frozen,,200,True,
fixation_embedding_method,Unknown,,200,True,
staining_method,H&E,Hematoxylin and Eosin Staining Method,200,True,
staining_method,IHC,Immunohistochemistry Staining Method,200,True,
staining_method,In situ hybridization,In situ hybridization,200,True,
staining_method,mIHC,Multiplexed Immunohistochemistry,200,True,
staining_method,Wright-Giemsa,Wright-Giemsa Staining Method,200,True,
staining_method,Other,Other,200,True,
deidentification_method,manual,manual,200,True,
deidentification_method,semiautomatic,semiautomatic,200,True,
deidentification_method,automatic,automatic,200,True,
deidentification_method,Not applicable,Not applicable,200,True,
medical_history_category,Autoimmune Disease,Autoimmune Disease,200,True,
medical_history_category,Cancer,Cancer,200,True,
medical_history_category,Congenital Anomaly,Congenital Anomaly,200,True,
medical_history_category,Structural Birth Defect,Structural Birth Defect,200,True,
medical_history_category,Genetic Syndrome,Genetic Syndrome,200,True,
medical_history_category,Not Reported,Not Reported,200,True,
medical_history_category,Unknown,Unknown,200,True,
alcohol_history,Yes,Yes,200,True,
alcohol_history,No,No ,200,True,
alcohol_history,Unknown,Unknown,200,True,
alcohol_history,Not Reported,Not Reported,200,True,
alcohol_intensity,Drinker,Drinker,200,True,
alcohol_intensity,Heavy Drinker,Heavy Drinker,200,True,
alcohol_intensity,Lifelong Non-Drinker,Lifelong Non-Drinker,200,True,
alcohol_intensity,Non-Drinker,Non-Drinker,200,True,
alcohol_intensity,Occasional Drinker,Occasional Drinker,200,True,
alcohol_intensity,Unknown,Unknown,200,True,
alcohol_intensity,Not Reported,Not Reported,200,True,
asbestos_exposure,Yes,Yes,200,True,
asbestos_exposure,No,No ,200,True,
asbestos_exposure,Unknown,Unknown,200,True,
asbestos_exposure,Not Reported,Not Reported,200,True,
coal_dust_exposure,Yes,Yes,200,True,
coal_dust_exposure,No,No ,200,True,
coal_dust_exposure,Unknown,Unknown,200,True,
coal_dust_exposure,Not Reported,Not Reported,200,True,
environmental_tobacco_smoke_exposure,Yes,Yes,200,True,
environmental_tobacco_smoke_exposure,No,No ,200,True,
environmental_tobacco_smoke_exposure,Unknown,Unknown,200,True,
environmental_tobacco_smoke_exposure,Not Reported,Not Reported,200,True,
radon_exposure,Yes,Yes,200,True,
radon_exposure,No,No ,200,True,
radon_exposure,Unknown,Unknown,200,True,
radon_exposure,Not Reported,Not Reported,200,True,
respirable_crystalline_silica_exposure,Yes,Yes,200,True,
respirable_crystalline_silica_exposure,No,No ,200,True,
respirable_crystalline_silica_exposure,Unknown,Unknown,200,True,
respirable_crystalline_silica_exposure,Not Reported,Not Reported,200,True,
smoking_frequency,Every day,Every day,200,True,
smoking_frequency,Some days,Some days,200,True,
smoking_frequency,Not Reported,Not Reported,200,True,
smoking_frequency,Unknown,Unknown,200,True,
time_between_waking_and_first_smoke,Within 5 Minutes,Within 5 Minutes,200,True,
time_between_waking_and_first_smoke,6-30 Minutes,6-30 Minutes,200,True,
time_between_waking_and_first_smoke,31-60 Minutes,31-60 Minutes,200,True,
time_between_waking_and_first_smoke,After 60 Minutes,After 60 Minutes,200,True,
time_between_waking_and_first_smoke,Not Reported,Not Reported,200,True,
time_between_waking_and_first_smoke,Unknown,Unknown,200,True,
tobacco_smoking_status,1 (Lifelong Non-Smoker),1 (Lifelong Non-Smoker),200,True,
tobacco_smoking_status,2 (Current Smoker),2 (Current Smoker),200,True,
tobacco_smoking_status,3 (Current Reformed Smoker for > 15 yrs),3 (Current Reformed Smoker for > 15 yrs),200,True,
tobacco_smoking_status,4 (Current Reformed Smoker for < or = 15 yrs),4 (Current Reformed Smoker for < or = 15 yrs),200,True,
tobacco_smoking_status,"5 (Current Reformed Smoker, Duration Not Specified)","5 (Current Reformed Smoker, Duration Not Specified)",200,True,
tobacco_smoking_status,7 (Smoking history not documented),7 (Smoking history not documented),200,True,
tobacco_smoking_status,Unknown,Unknown,200,True,
tobacco_smoking_status,Not Reported,Not Reported,200,True,
last_known_survival_status,Alive,Alive,200,True,
last_known_survival_status,Dead,Dead,200,True,
last_known_survival_status,Not reported,Not reported,200,True,
last_known_survival_status,Unknown,Unknown,200,True,
last_known_survival_status,Unspecified,Unspecified,200,True,
first_event,Progression,Progression,200,True,
first_event,Relapse,Relapse,200,True,
first_event,Second Malignant Neoplasm,Second Malignant Neoplasm,200,True,
first_event,Death,Death,200,True,
first_event,Not Reported,Not Reported,200,True,
first_event,Not Applicable,Not Applicable,200,True,
first_event,Unknown,Unknown,200,True,
event_free_survival_status,Censored,Censored,200,True,
event_free_survival_status,Not Censored,Not Censored,200,True,
event_free_survival_status,Not Reported,Not Reported,200,True,
event_free_survival_status,Unknown,Unknown,200,True,
follow_up_category,adverse_event,adverse_event,200,True,
follow_up_category,comorbidity,comorbidity,200,True,
follow_up_category,risk_factor,risk_factor,200,True,
follow_up_category,other,other,200,True,
cause_of_death,Due to non-study treatment,Non-Study Treatment Relationship,200,True,
cause_of_death,Due to other cause,Other Reason,200,True,
cause_of_death,Due to protocol treatment,Therapy-Related Toxicity,200,True,
cause_of_death,Due to secondary primary cancer,Second Primary Malignant Neoplasm,200,True,
cause_of_death,Due to this disease,Primary Disease or Disorder,200,True,
cause_of_death,Unknown,Unknown,200,True,
laboratory_test_method,Comparative Genomic Hybridization,,200,True,
laboratory_test_method,"Cytogenetics, NOS",,200,True,
laboratory_test_method,FISH,,200,True,
laboratory_test_method,Flow Cytometry,,200,True,
laboratory_test_method,IHC,,200,True,
laboratory_test_method,ISH,,200,True,
laboratory_test_method,Karyotype,,200,True,
laboratory_test_method,Microarray,,200,True,
laboratory_test_method,Microsatellite Analysis,,200,True,
laboratory_test_method,Nuclear Staining,,200,True,
